,,,,Months,,,,,,,,,,,,
Year,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
2013,Discharge(flow) in cubic meters per second (m3/s) ,,,54.9,60.5,57.1,54.7,104,410,249,125,109,64.4,59.4,57.7,117
2014,Discharge(flow) in cubic meters per second (m3/s) ,,,65,53.6,58.4,64.6,120,246,171,104,95.6,74.7,59.9,56.7,97.7
2015,Discharge(flow) in cubic meters per second (m3/s) ,,,56.5,65.9,66.6,56.9,107,129,91.6,68.3,69.7,64.8,50.1,50,73
2016,Discharge(flow) in cubic meters per second (m3/s) ,,,54.9,54.4,48.8,72.8,105,101,100,82.3,56.4,58.8,55.2,44.3,69.5
2017,Discharge(flow) in cubic meters per second (m3/s) ,,,43.4,53.5,59.2,81.7,136,,148,78.4,61.7,41.7,39.1,35.8,87.4
2018,Discharge(flow) in cubic meters per second (m3/s) ,,,35.7,35.4,43.2,78,187,194,131,87.2,60.1,55.9,44.9,40.3,83
2019,Discharge(flow) in cubic meters per second (m3/s) ,,,41.3,41.9,56.7,64,84,194,168,109,90.6,66.2,51.2,41.7,84.2
2020,Discharge(flow) in cubic meters per second (m3/s) ,,,43,42.7,46.2,91.7,139,272,203,120,68.5,60.1,51.6,41.7,98.4
2021,Discharge(flow) in cubic meters per second (m3/s) ,,,43.3,39.5,47.2,72.3,98.4,224,169,88.7,62.8,45.3,41.9,48.4,81.9
2022,Discharge(flow) in cubic meters per second (m3/s) ,,,46.2,42.3,41.5,55.6,74.5,210,215,115,68.9,46.3,37.7,43.7,83.3
2023,Discharge(flow) in cubic meters per second (m3/s) ,,,41,39.2,39.2,54.1,155,118,92.4,72.3,52.8,36.2,36.1,36,64.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Mean
2013,Water Level in meters (m),,,1.253,1.176,1.089,1.038,1.283,2.073,1.809,1.399,1.332,1.1,1.096,1.202,1.321
2014,Water Level in meters (m),,,1.24,1.512,1.359,1.135,1.378,1.855,1.614,1.352,1.277,1.161,1.092,1.172,1.344
2015,Water Level in meters (m),,,1.413,1.319,27.43457143,34.47659091,1.348,1.439,1.282,1.148,1.151,1.125,1.045,1.128,6.192430195
2016,Water Level in meters (m),,,1.234,1.079,0.975,1.123,1.302,1.28,1.279,1.188,1.033,1.05,1.024,1.059,1.136
2017,Water Level in meters (m),,,1.339,1.301,1.237,1.134,1.383,1.847,1.448,1.111,1.009,0.856,0.835,0.921,1.201
2018,Water Level in meters (m),,,1.428,1.337,1.399,1.346,1.575,1.613,1.372,1.174,0.999,0.963,0.872,0.9,1.248
2019,Water Level in meters (m),,,0.903,1.619,1.496,1.032,1.135,1.614,1.519,1.276,1.191,1.051,0.949,0.955,1.225
2020,Water Level in meters (m),,,1.267,1.31,1.183,1.207,1.382,1.843,1.621,1.308,1.04,0.985,0.931,0.897,1.247
2021,Water Level in meters (m),,,0.926,24.68972727,27.43457143,1.059,1.197,1.686,1.499,1.164,1.004,0.865,0.835,1.12,5.289941558
2022,Water Level in meters (m),,,1.413,1.241,1.015,0.951,1.083,1.653,1.694,1.292,1.039,0.873,0.818,1.309,1.199
2023,Water Level in meters (m),,,1.427,1.267,1.206,0.984,1.458,1.305,1.182,1.073,0.929,0.779,0.779,0.811,1.1
